,brand,country,currency,customers_per_day,outlet_id,week_id,weekday,sales_per_day
0,MediaMarkt,spain,EURO,3138.0,100.0,34.0,sat,72169.14
1,Saturn,germany,EURO,378.0,86.0,8.0,mon,52825.62
2,MediaMarkt,italy,EURO,379.0,530.0,28.0,thu,53309.83
3,Saturn,germany,EURO,3050.0,17.0,47.0,sat,74237.45
4,MediaMarkt,spain,EURO,548.0,164.0,7.0,tue,56621.61
5,MediaMarkt,austria,EURO,1424.0,399.0,7.0,fri,59294.79
6,MediaMarkt,italy,EURO,479.0,598.0,46.0,thu,61603.64
7,MediaMarkt,austria,EURO,2028.0,342.0,36.0,sat,-999999.0
8,MediaMarkt,germany,EURO,1425.0,56.0,46.0,fri,62742.69
9,MediaMarkt,switzerland,CHF,266.0,477.0,10.0,mon,51922.36
10,Saturn,netherlands,EURO,3143.0,601.0,49.0,sat,81088.06
11,MediaMarkt,italy,EURO,434.0,555.0,51.0,mon,56569.48
12,MediaMarkt,italy,EURO,3108.0,509.0,20.0,sat,70937.61
13,Saturn,italy,EURO,2916.0,588.0,48.0,sat,75997.54
14,MediaMarkt,germany,EURO,381.0,99.0,40.0,mon,64217.82
15,Saturn,spain,EURO,1985.0,187.0,28.0,fri,59365.84
16,MediaMarkt,germany,EURO,642.0,95.0,44.0,tue,52912.65
17,Saturn,austria,EURO,2759.0,333.0,12.0,sat,81221.75
18,MediaMarkt,italy,EURO,402.0,598.0,36.0,thu,65802.13
19,MediaMarkt,germany,EURO,483.0,14.0,32.0,tue,59400.92
20,Saturn,spain,EURO,1245.0,108.0,46.0,wed,65849.28
21,MediaMarkt,austria,EURO,0.0,334.0,26.0,sun,0.0
22,Saturn,netherlands,EURO,889.0,698.0,20.0,wed,61416.18
23,MediaMarkt,germany,EURO,330.0,59.0,12.0,mon,49898.06
24,Saturn,italy,EURO,219.0,588.0,45.0,mon,59744.13
25,Saturn,spain,EURO,359.0,108.0,4.0,mon,56665.35
26,MediaMarkt,austria,EURO,2137.0,334.0,20.0,sat,65112.56
27,Saturn,netherlands,EURO,1563.0,601.0,35.0,fri,54508.45
28,MediaMarkt,italy,EURO,566.0,530.0,15.0,thu,60769.09
29,Saturn,austria,EURO,825.0,301.0,49.0,tue,59465.51
30,Saturn,germany,EURO,1724.0,17.0,29.0,fri,59291.87
31,MediaMarkt,spain,EURO,341.0,100.0,41.0,mon,56629.88
32,Saturn,germany,EURO,1337.0,81.0,27.0,fri,56524.51
33,MediaMarkt,netherlands,EURO,1840.0,694.0,5.0,sat,69307.99
34,MediaMarkt,germany,EURO,866.0,99.0,48.0,thu,59892.14
35,MediaMarkt,germany,EURO,524.0,56.0,9.0,tue,53476.03
36,MediaMarkt,germany,EURO,2239.0,52.0,38.0,sat,74059.19
37,MediaMarkt,austria,EURO,0.0,342.0,45.0,sun,0.0
38,MediaMarkt,spain,EURO,883.0,142.0,51.0,tue,49562.91
39,Saturn,spain,EURO,562.0,112.0,49.0,tue,55971.82
40,MediaMarkt,austria,EURO,312.0,339.0,29.0,thu,61073.84
41,Saturn,italy,EURO,0.0,588.0,26.0,sun,0.0
42,MediaMarkt,netherlands,EURO,2120.0,694.0,4.0,sat,71949.38
